,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
59,59,945,CD33,-,86,10,4.277e-18,25883042,(p=1.10e-03),,23444229,(p=1.30e-03),,28644774,(p=2.30e-03),,15676214,(p=3.70e-03),,18085638,(p=4.40e-03),,11970770,(p=4.60e-03),,24618611,(p=6.30e-03),,11320212,(p=8.80e-03),,26847056,(p=8.80e-03),,21993666,(p=9.10e-03),
60,60,54790,TET2,-,199,12,9.074e-18,20573398,(p=4.02e-04),,27391574,(p=1.70e-03),,27881874,(p=2.70e-03),,21508122,(p=4.10e-03),,25224413,(p=4.50e-03),,21343549,(p=4.50e-03),,21828143,(p=4.50e-03),,21729597,(p=4.60e-03),,28167452,(p=5.30e-03),,26568194,(p=6.40e-03),
61,61,1633,DCK,-,93,10,9.37e-18,26083014,(p=1.24e-04),,20890066,(p=4.02e-04),,26090398,(p=8.01e-04),,25557962,(p=4.10e-03),,19287976,(p=4.50e-03),,19428333,(p=5.80e-03),,19568409,(p=7.50e-03),,11830489,(p=8.70e-03),,18931345,(p=9.00e-03),,20665488,(p=9.60e-03),
62,62,2938,GSTA1,-,203,12,1.117e-17,21169260,(p=1.10e-03),,20216541,(p=1.30e-03),,24215845,(p=1.30e-03),,19786980,(p=1.70e-03),,26691424,(p=4.30e-03),,28267438,(p=4.50e-03),,25565670,(p=5.00e-03),,19696793,(p=5.40e-03),,25730183,(p=6.30e-03),,12087351,(p=7.50e-03),
63,63,672,BRCA1,-,2556,30,1.23e-17,28030834,(p=2.08e-04),,24244429,(p=2.08e-04),,20609467,(p=1.30e-03),,26946057,(p=1.30e-03),,27039761,(p=1.40e-03),,20609468,(p=1.70e-03),,19564533,(p=1.70e-03),,17145825,(p=2.20e-03),,23810788,(p=2.70e-03),,26637364,(p=2.90e-03),
64,64,1441,CSF3R,-,107,10,3.827e-17,24746896,(p=7.04e-04),,25730818,(p=1.70e-03),,20237318,(p=2.20e-03),,12422946,(p=4.50e-03),,27629739,(p=5.00e-03),,24523240,(p=5.30e-03),,26475333,(p=9.00e-03),,18536571,(p=9.10e-03),,28073911,(p=9.40e-03),,20819538,(p=9.60e-03),
65,65,355,FAS,-,1113,20,5.043e-17,15203866,(p=7.01e-04),,18494554,(p=1.40e-03),,14977837,(p=1.50e-03),,27940354,(p=2.60e-03),,22438247,(p=4.30e-03),,25304249,(p=4.50e-03),,18552209,(p=4.70e-03),,27391025,(p=4.70e-03),,19047119,(p=4.70e-03),,26563376,(p=6.30e-03),
66,66,1577,CYP3A5,-,628,16,8.751e-17,20395213,(p=2.07e-04),,17264302,(p=1.20e-03),,20459744,(p=1.30e-03),,19650988,(p=1.70e-03),,20530282,(p=3.40e-03),,20179710,(p=4.30e-03),,19636001,(p=4.30e-03),,18930278,(p=4.50e-03),,17925548,(p=4.50e-03),,19470925,(p=5.30e-03),
67,67,2212,FCGR2A,-,446,14,2.304e-16,17594928,(p=7.01e-04),,19933905,(p=1.20e-03),,22885164,(p=2.80e-03),,16682723,(p=3.00e-03),,18474295,(p=3.00e-03),,26510856,(p=4.10e-03),,18349392,(p=4.20e-03),,27376362,(p=4.60e-03),,17650444,(p=6.30e-03),,19672774,(p=6.60e-03),
68,68,3418,IDH2,-,269,12,2.982e-16,26016821,(p=7.01e-04),,20368543,(p=1.30e-03),,22020636,(p=1.50e-03),,24936872,(p=1.50e-03),,20625116,(p=3.00e-03),,25651001,(p=3.10e-03),,20567020,(p=4.50e-03),,21079611,(p=4.70e-03),,27005468,(p=7.40e-03),,21596855,(p=7.50e-03),
