,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
64,64,672,BRCA1,-,2556,89,1.911e-58,23407556,(p=4.16e-04),,19415121,(p=5.06e-04),,28373435,(p=8.01e-04),,19002265,(p=1.60e-03),,23810788,(p=1.60e-03),,25164908,(p=1.90e-03),,25583261,(p=1.90e-03),,19018088,(p=2.10e-03),,27381626,(p=2.50e-03),,21396117,(p=2.50e-03),
65,65,2078,ERG,-,370,42,1.924e-58,19339269,(p=9.00e-04),,23728339,(p=9.01e-04),,24777847,(p=1.60e-03),,22313860,(p=1.90e-03),,27223260,(p=1.90e-03),,18519769,(p=2.20e-03),,27249694,(p=2.50e-03),,21802835,(p=2.60e-03),,20651988,(p=2.90e-03),,21499238,(p=3.00e-03),
66,66,1499,CTNNB1,-,2298,84,3.785e-58,26268703,(p=4.10e-04),,23579873,(p=4.10e-04),,28259822,(p=4.15e-04),,25164010,(p=4.17e-04),,24189400,(p=4.18e-04),,28018973,(p=5.02e-04),,25396757,(p=1.60e-03),,27780915,(p=1.90e-03),,27835591,(p=1.90e-03),,28551620,(p=2.20e-03),
67,67,2932,GSK3B,-,1118,61,5.108e-58,24391509,(p=1.20e-03),,23729362,(p=1.60e-03),,27432879,(p=1.60e-03),,27236820,(p=1.60e-03),,22534782,(p=1.80e-03),,17972518,(p=1.90e-03),,27780915,(p=1.90e-03),,22286758,(p=2.30e-03),,25885523,(p=2.50e-03),,23673211,(p=2.60e-03),
68,68,5037,PEBP1,-,212,35,6.977e-57,23075684,(p=1.10e-03),,21664646,(p=1.60e-03),,27444299,(p=2.50e-03),,15327891,(p=2.50e-03),,17911631,(p=2.60e-03),,22248055,(p=3.20e-03),,25597356,(p=3.30e-03),,25128483,(p=3.30e-03),,16243812,(p=3.40e-03),,24658061,(p=3.50e-03),
69,69,1026,CDKN1A,-,1511,67,3.81e-56,28757172,(p=6.02e-04),,21616632,(p=8.04e-04),,17337084,(p=1.10e-03),,23982416,(p=1.10e-03),,12599217,(p=1.60e-03),,25474241,(p=2.60e-03),,28235401,(p=2.60e-03),,25885043,(p=2.90e-03),,21933447,(p=3.00e-03),,17616661,(p=3.00e-03),
70,70,3320,HSP90AA1,-,908,54,1.613e-55,24952482,(p=4.01e-04),,22592212,(p=4.03e-04),,19952121,(p=4.03e-04),,16024644,(p=4.10e-04),,24463348,(p=4.14e-04),,22806877,(p=4.18e-04),,24189400,(p=4.18e-04),,26500058,(p=5.05e-04),,22144665,(p=7.01e-04),,22952420,(p=1.10e-03),
71,71,1969,EPHA2,-,256,36,1.6e-55,26744526,(p=4.14e-04),,21955398,(p=5.02e-04),,19531623,(p=5.02e-04),,19934338,(p=5.05e-04),,22236865,(p=6.00e-04),,24713656,(p=1.20e-03),,24607842,(p=1.70e-03),,25366905,(p=1.90e-03),,20360610,(p=2.60e-03),,16428472,(p=2.70e-03),
72,72,5159,PDGFRB,-,434,41,4.046e-54,21097719,(p=1.60e-03),,23146028,(p=1.60e-03),,24747080,(p=1.70e-03),,24754736,(p=1.90e-03),,28183292,(p=2.20e-03),,21729646,(p=2.50e-03),,18809244,(p=2.60e-03),,24758355,(p=2.60e-03),,20197394,(p=3.10e-03),,24524969,(p=3.20e-03),
73,73,6240,RRM1,-,141,30,6.05e-54,23982437,(p=6.01e-04),,26650486,(p=6.02e-04),,19552012,(p=8.04e-04),,19002265,(p=1.60e-03),,20226083,(p=1.90e-03),,26228206,(p=1.90e-03),,24215511,(p=2.60e-03),,26254808,(p=2.70e-03),,23155271,(p=3.00e-03),,20868593,(p=3.00e-03),
