,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
70,70,5163,PDK1,-,74,12,0,28249908,(p=8.66e-05),,25976231,(p=3.00e-04),,26433571,(p=1.20e-03),,28617852,(p=3.20e-03),,26593251,(p=3.60e-03),,18541534,(p=3.60e-03),,26876212,(p=5.10e-03),,23135628,(p=5.50e-03),,22623531,(p=6.00e-03),,21763680,(p=6.10e-03),
71,71,2658,GDF2,-,68,11,0,23844832,(p=1.90e-03),,26678910,(p=4.40e-03),,24337584,(p=5.10e-03),,22493445,(p=5.50e-03),,20406889,(p=6.50e-03),,24413988,(p=6.60e-03),,23807047,(p=7.00e-03),,19366699,(p=8.70e-03),,27706722,(p=9.50e-03),,27208502,(p=9.80e-03),
72,72,1848,DUSP6,-,94,15,0,20097731,(p=9.19e-05),,23839489,(p=9.01e-04),,27049681,(p=1.30e-03),,18644985,(p=3.40e-03),,18632752,(p=3.60e-03),,25414256,(p=3.60e-03),,17131384,(p=5.60e-03),,22535643,(p=6.20e-03),,28910386,(p=6.20e-03),,21499306,(p=7.10e-03),
73,73,3068,HDGF,-,95,15,0,23673296,(p=2.20e-03),,23536873,(p=3.60e-03),,19924574,(p=3.90e-03),,27692835,(p=4.30e-03),,24986090,(p=4.30e-03),,25938538,(p=4.40e-03),,21302807,(p=4.40e-03),,22331796,(p=5.60e-03),,14751852,(p=7.10e-03),,24999758,(p=7.10e-03),
74,74,5606,MAP2K3,-,95,15,0,19672773,(p=4.00e-04),,17406030,(p=2.60e-03),,27181679,(p=2.70e-03),,22164285,(p=2.90e-03),,15797859,(p=3.60e-03),,15677464,(p=4.60e-03),,22154358,(p=4.70e-03),,19047046,(p=5.00e-03),,17438131,(p=5.10e-03),,24112539,(p=5.60e-03),
75,75,5607,MAP2K5,-,76,12,0,17872495,(p=3.00e-04),,12219026,(p=5.02e-04),,21820407,(p=1.10e-03),,23950888,(p=1.50e-03),,9790194,(p=2.30e-03),,27160304,(p=2.70e-03),,15378007,(p=4.40e-03),,14583600,(p=5.10e-03),,27878304,(p=6.90e-03),,18071319,(p=7.00e-03),
76,76,55872,PBK,-,70,11,0,26745678,(p=4.01e-04),,27334838,(p=1.10e-03),,20622899,(p=2.90e-03),,17631144,(p=3.60e-03),,28677687,(p=4.10e-03),,26503118,(p=5.10e-03),,22623531,(p=6.00e-03),,28333152,(p=6.60e-03),,25687885,(p=7.30e-03),,23547718,(p=7.70e-03),
77,77,5029,P2RY2,-,116,18,0,21652710,(p=1.10e-03),,18434089,(p=1.10e-03),,20089844,(p=1.70e-03),,25156554,(p=1.70e-03),,26443721,(p=1.90e-03),,24847054,(p=4.10e-03),,20064929,(p=5.60e-03),,23462325,(p=5.60e-03),,12714597,(p=5.60e-03),,16741950,(p=6.80e-03),
78,78,5609,MAP2K7,-,116,18,0,25959272,(p=9.27e-05),,26351322,(p=1.04e-04),,26649302,(p=9.00e-04),,28263969,(p=1.10e-03),,23900681,(p=1.70e-03),,18436711,(p=2.10e-03),,24634165,(p=2.20e-03),,22903704,(p=3.60e-03),,22159816,(p=3.90e-03),,22154358,(p=4.70e-03),
79,79,8493,PPM1D,-,123,19,0,27086929,(p=1.70e-03),,19435816,(p=2.20e-03),,20007970,(p=2.70e-03),,12021785,(p=3.70e-03),,23146903,(p=4.00e-03),,26351212,(p=4.40e-03),,25060857,(p=4.40e-03),,26824362,(p=5.10e-03),,27183917,(p=5.10e-03),,25123458,(p=5.10e-03),
